1639+3946,249.7210, 39.7600
1648+3946,251.8770, 39.7600
1650+2342,252.5500, 23.7000
1716+5718,259.0000, 57.3000
1728+5658,262.0670, 56.9700
1728+5858,261.9170, 58.9600
2035+6009,308.7181, 60.1539
2216+1324,333.9200, 13.4000
2237+3425,339.2671, 34.4156
2257+1320,344.1500, 13.3333
2315+1357,348.6700, 13.9500
2318+1844,349.6000, 18.7333
2324+1649,351.0000, 16.8167
2325+1438,351.1250, 14.6333
2338+2655,354.4899, 26.9094
2345+0909,356.2250,  9.1500
2351+2709,357.7250, 27.1500
0003-3557,  0.8300,-35.9500
0020-4913,  5.1200,-49.2200
0030+1201,  7.4000, 12.0200
0038-2505,  9.5000,-25.0800
0042-0920, 10.4000, -9.3300
0101-5031, 15.2000,-50.5200
0109+1309, 17.3000, 13.1500
0109-1525, 17.2200,-15.4200
0111+1739, 17.7500, 17.6500
0115-4830, 18.7000,-48.5000
0126-3758, 21.5000,-37.9700
0139+1853, 24.7200, 18.8800
0141-5433, 25.1800,-54.5500
0213-4707, 33.2300,-47.1200
0215-2450, 33.8000,-24.8300
0222-4834, 35.5300,-48.5700
0309-4715, 47.1411,-47.2479
0318-4745, 49.3889,-47.7521
0322-4120, 50.5700,-41.3300
0330-5233, 52.5500,-52.5500
0337-5501, 54.2800,-55.0200
0343-5338, 55.7500,-53.6300
0400-5339, 60.0500,-53.6500
0409-3049, 62.1500,-30.8200
0412-6436, 62.9700,-64.6000
0416-0739, 64.0700, -7.6500
0431-6128, 67.8000,-61.4700
0434-1314, 68.4000,-13.2300
0439-2206, 69.7200,-22.1000
0501-3840, 75.2000,-38.6700
0526-3135, 81.4000,-31.5800
0535-2830, 83.6700,-28.5000
0628-5423, 96.8800,-54.3800
0837+1551,129.3700, 15.8500
1014-0054,153.5000, -0.9000
1020-0631,155.1200, -6.5200
1028+1024,156.9500, 10.4000
1037-2731,159.2200,-27.5200
1118-0428,169.4200, -4.4700
1142+1026,175.6200, 10.4300
1145+1950,176.1300, 19.8300
1254-2901,193.5700,-29.0200
1320-3328,199.8800,-33.4700
1327-3127,201.7495,-31.4503
1330-2931,202.4800,-29.5200
1331-3308,202.7873,-33.1329
1333-3513,203.1863,-35.2100
1334-3141,203.6062,-31.6898
1338-3359,204.4146,-33.9821
1340-3539,205.0760,-35.6449
1347-3251,206.8700,-32.8500
1354-2750,208.5700,-27.8300
1358+2142,209.5500, 21.7000
1358-2443,209.3800,-24.7200
1402-1109,210.4500,-11.1500
1427+1640,216.7300, 16.6700
1453+1644,223.1700, 16.7300
1455+1837,223.6300, 18.6200
1513+0725,228.2000,  7.4200
1523+0838,230.7500,  8.6300
1540+2146,234.9500, 21.7700
1952-5505,298.0500,-55.0800
2012-5648,303.1200,-56.8000
2026-3321,306.6000,-33.3500
2036-2516,309.0000,-25.2700
2052-5242,312.8800,-52.7000
2102-2803,315.5000,-28.0500
2107-2528,316.8000,-25.4700
2110-4548,317.5500,-45.8000
2142-7243,325.4000,-72.7100
2152-1538,328.0000,-15.6300
2158-0747,329.3800, -7.7800
2203-4549,330.8300,-45.8200
2228-6901,336.9500,-69.0200
2236+0128,338.9500,  1.4700
2240+1215,340.1200, 12.2500
2246-5243,341.5200,-52.7200
2306-4408,346.4000,-44.1300
2319-6746,349.7000,-67.7700
2348-2808,356.9200,-28.1300
2357-3440,359.1800,-34.6700
